station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,Patm_3,WindSpeed,CO2_SO2
ME02,2008-04-16 07:00:00+00:00,2.761108253875467e-07,3.5594286466875705e-05,1.3488799930188332e-07,0.137323,12.880984,958.482739,15.163934,9.7125
ME02,2008-04-16 08:00:00+00:00,2.632388608533966e-07,8.67154453496404e-05,1.0306198486427751e-07,0.150369,13.925234,959.08354,0.0,9.7125
ME02,2008-04-16 09:00:00+00:00,2.201022131090744e-07,3.1816223253666545e-05,9.069208721365087e-08,0.13933,14.711997,959.240893,0.819672,9.7125
ME02,2008-04-16 10:00:00+00:00,1.674763658447551e-07,1.2392471473809271e-05,6.082987814437234e-08,0.146857,15.408163,959.484074,22.95082,9.7125
ME02,2008-04-16 11:00:00+00:00,1.644819154094499e-07,2.755588744242232e-05,5.4984362878512094e-08,0.142843,16.132939,959.183673,31.147541,9.7125
ME02,2008-04-16 12:00:00+00:00,1.7146174489148177e-07,3.574302290830341e-05,5.694917512108824e-08,0.131302,14.783521,959.126454,78.688525,9.775
ME02,2008-04-16 13:00:00+00:00,1.719860656032804e-07,3.839648443043252e-05,5.993369886326804e-08,0.142341,14.397292,959.040626,36.885246,9.775
ME02,2008-04-16 14:00:00+00:00,1.6565385621974858e-07,2.521388535657826e-05,6.260783986295241e-08,0.126285,14.249475,958.225253,7.377049,9.775
ME02,2008-04-16 15:00:00+00:00,1.908655215572082e-07,2.0588095842920236e-05,7.111301712761224e-08,0.114242,14.459279,957.810414,30.737705,9.775
ME02,2008-04-16 16:00:00+00:00,1.8847914869803534e-07,1.5161068646053571e-05,6.6135027128604e-08,0.118256,14.70246,957.924852,0.409836,9.775
ME02,2008-04-16 17:00:00+00:00,1.9864282231268296e-07,1.4834432282662701e-05,6.623262588831003e-08,0.125783,12.704558,956.952127,0.0,9.775
ME02,2008-04-16 18:00:00+00:00,1.9749789537863117e-07,1.4278464876545595e-05,6.628121883175968e-08,0.126285,12.342171,957.109479,40.163934,9.8375
ME02,2008-04-16 19:00:00+00:00,1.8242850049779257e-07,1.3311002107691177e-05,6.738498371645103e-08,0.130299,11.803357,957.309746,27.459016,9.8375
ME02,2008-04-16 20:00:00+00:00,1.732343268172568e-07,1.705075690633421e-05,6.66422690263956e-08,0.126285,11.316994,957.209613,23.360656,9.8375
ME02,2008-04-16 21:00:00+00:00,1.6808711146807294e-07,1.5962589684700572e-05,7.250577442682769e-08,0.134313,11.202556,957.138089,33.606557,9.8375
ME02,2008-04-16 22:00:00+00:00,1.5897152071358172e-07,1.5938337542972955e-05,6.714250588109497e-08,0.133309,13.13847,956.537288,31.557377,9.8375
ME02,2008-04-16 23:00:00+00:00,1.5482051911641069e-07,1.4969459276284054e-05,6.576697820701756e-08,0.137825,12.575815,956.39424,42.213115,9.8375
ME02,2008-04-17 00:00:00+00:00,1.5597034603390077e-07,1.739414193138145e-05,7.98456900957593e-08,0.150871,12.380317,955.40721,81.557377,9.9
ME02,2008-04-17 01:00:00+00:00,1.7375459060151301e-07,1.4469366414576962e-05,2.0764403630873835e-07,0.142843,13.5247,955.121114,75.819672,9.9
ME02,2008-04-17 02:00:00+00:00,1.9480054203749304e-07,1.402293870223129e-05,2.5565386339313465e-07,0.146857,13.562846,954.134084,33.606557,9.9
ME02,2008-04-17 03:00:00+00:00,2.1929868749758579e-07,1.5215533608268079e-05,1.8265165700684695e-07,0.137825,14.573717,953.590502,46.721311,9.9
ME02,2008-04-17 04:00:00+00:00,2.6989365961816854e-07,1.7404521808270317e-05,5.014919869212792e-07,0.146355,11.655541,953.261492,25.819672,9.9
